State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
Texas,LLANO,Llano County Sheriff's Office,TX1500000,West South Central,South,Region III,County,TRUE,2019-05-01T00:00:00.000Z,30.707584,-98.68469
Texas,LLANO,Llano Police Department,TX1500100,West South Central,South,Region III,City,TRUE,1998-01-01T00:00:00.000Z,30.750307,-98.67835
Texas,LLANO,Sunrise Beach Village Police Department,TX1500500,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,30.58983,-98.42496
Texas,LOVING,Loving County Sheriff's Office,TX1510000,West South Central,South,Region III,County,TRUE,2019-05-01T00:00:00.000Z,31.844936,-103.561229
Texas,LUBBOCK,Lubbock County Sheriff's Office,TX1520000,West South Central,South,Region III,County,TRUE,1998-05-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Idalou Police Department,TX1520100,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Lubbock Police Department,TX1520200,West South Central,South,Region III,City,TRUE,2017-10-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Shallowater Police Department,TX1520300,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Slaton Police Department,TX1520400,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.438923,-101.64312
Texas,LUBBOCK,Texas Tech University: Lubbock,TX1520600,West South Central,South,Region III,University or College,TRUE,2017-07-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Wolfforth Police Department,TX1520800,West South Central,South,Region III,City,TRUE,2016-10-01T00:00:00.000Z,33.611469,-101.819944
Texas,LUBBOCK,Ransom Canyon Police Department,TX1521100,West South Central,South,Region III,City,FALSE,,33.611469,-101.819944
Texas,LUBBOCK,New Deal Police Department,TX1521500,West South Central,South,Region III,City,FALSE,,33.611469,-101.819944
Texas,LUBBOCK,Lubbock Christian University,TX1522000,West South Central,South,Region III,University or College,TRUE,2018-01-01T00:00:00.000Z,,
Texas,LUBBOCK,Independent School District:,TX1522700,West South Central,South,Region III,Other,TRUE,2019-11-01T00:00:00.000Z,,
Texas,LUBBOCK,University Medical Center,TX1522800,West South Central,South,Region III,Other,TRUE,2021-07-01T00:00:00.000Z,,
Texas,LYNN,Lynn County Sheriff's Office,TX1530000,West South Central,South,Region III,County,TRUE,2019-07-01T00:00:00.000Z,33.178412,-101.818493
Texas,LYNN,Tahoka Police Department,TX1530200,West South Central,South,Region III,City,TRUE,2018-01-01T00:00:00.000Z,33.178412,-101.818493
Texas,"DAWSON, LYNN",O'Donnell Police Department,TX1530500,West South Central,South,Region III,City,FALSE,2019-07-01T00:00:00.000Z,33.178412,-101.818493
Texas,MCCULLOCH,McCulloch County Sheriff's Office,TX1540000,West South Central,South,Region III,County,TRUE,2019-01-01T00:00:00.000Z,31.205477,-99.359856
Texas,MCCULLOCH,Brady Police Department,TX1540100,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,31.205477,-99.359856
Texas,MCLENNAN,McLennan County Sheriff's Office,TX1550000,West South Central,South,Region III,County,TRUE,1998-02-01T00:00:00.000Z,31.55447,-97.1364
Texas,MCLENNAN,Bellmead Police Department,TX1550100,West South Central,South,Region III,City,TRUE,2017-02-01T00:00:00.000Z,31.589613,-97.10078
Texas,MCLENNAN,Beverly Hills Police Department,TX1550200,West South Central,South,Region III,City,FALSE,2022-01-01T00:00:00.000Z,31.525549,-97.1494
Texas,MCLENNAN,Hewitt Police Department,TX1550400,West South Central,South,Region III,City,TRUE,2016-06-01T00:00:00.000Z,31.549493,-97.201472
Texas,MCLENNAN,Lacy-Lakeview Police Department,TX1550500,West South Central,South,Region III,City,TRUE,2016-01-01T00:00:00.000Z,31.62393,-97.10311
Texas,MCLENNAN,Lorena Police Department,TX1550600,West South Central,South,Region III,City,TRUE,2018-01-01T00:00:00.000Z,31.549493,-97.201472
Texas,MCLENNAN,McGregor Police Department,TX1550700,West South Central,South,Region III,City,FALSE,,31.4415,-97.40726
Texas,"LIMESTONE, MCLENNAN",Mart Police Department,TX1550800,West South Central,South,Region III,City,FALSE,,31.549493,-97.201472
Texas,MCLENNAN,Robinson Police Department,TX1551100,West South Central,South,Region III,City,TRUE,2019-08-01T00:00:00.000Z,31.468706,-97.11562
Texas,MCLENNAN,Waco Police Department,TX1551200,West South Central,South,Region III,City,TRUE,2018-04-01T00:00:00.000Z,31.549493,-97.201472
