State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
New Mexico,VALENCIA,Los Lunas Police Department,NM0320300,1225,363,862,1352,371,981,19,3,16,0,0,0,12,0,12,0,0,0,813,42,771,631,39,592,2961,240,2721,23,0,23,4405,321,4084,34.71684,-106.806582
New Mexico,VALENCIA,Bosque Farms Police Department,NM0320700,175,73,102,182,74,108,1,0,1,0,0,0,0,0,0,0,0,0,61,3,58,73,5,68,189,18,171,1,0,1,323,26,297,34.71684,-106.806582
New Mexico,VALENCIA,Peralta,NM032100X,197,74,123,199,74,125,0,0,0,0,0,0,0,0,0,0,0,0,82,3,79,94,15,79,152,5,147,1,0,1,328,23,305,,
New Mexico,CIBOLA,Cibola County Sheriff's Office,NM0330000,348,125,223,378,132,246,5,2,3,0,0,0,10,4,6,4,1,3,211,53,158,72,14,58,187,47,140,11,1,10,470,114,356,35.15374,-107.853935
New Mexico,CIBOLA,Grants Police Department,NM0330100,201,21,180,242,23,219,0,0,0,0,0,0,8,0,8,4,0,4,445,19,426,160,20,140,484,57,427,1,0,1,1089,96,993,34.93205,-108.000255
New Mexico,CIBOLA,Milan Police Department,NM0330200,52,6,46,59,6,53,1,0,1,0,0,0,1,0,1,0,0,0,57,3,54,15,1,14,140,17,123,2,0,2,212,21,191,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Laguna Tribal,NM0330300,418,200,218,525,238,287,10,5,5,0,0,0,1,0,1,1,0,1,117,34,83,116,28,88,552,193,359,69,25,44,785,255,530,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Acoma Tribal,NM0330400,103,41,62,115,43,72,0,0,0,0,0,0,2,0,2,4,2,2,39,9,30,27,8,19,74,22,52,4,0,4,140,39,101,34.93205,-108.000255
New Mexico,NOT SPECIFIED,Pojoaque Tribal,NMDI02200,78,8,70,97,12,85,2,0,2,0,0,0,4,2,2,2,1,1,112,4,108,44,2,42,366,13,353,10,2,8,522,19,503,35.884163,-106.01543
New Mexico,NOT SPECIFIED,Jemez Pueblo,NMDI02300,75,30,45,88,36,52,0,0,0,0,0,0,0,0,0,0,0,0,39,11,28,4,1,3,28,7,21,0,0,0,71,19,52,35.685071,-106.882619
New Mexico,NOT SPECIFIED,Northern Pueblos Agency,NMDI05000,30,6,24,30,6,24,2,0,2,0,0,0,0,0,0,0,0,0,26,2,24,9,2,7,27,0,27,0,0,0,62,4,58,35.513731,-105.966439
New Mexico,NOT SPECIFIED,Southern Pueblos Agency,NMDI05100,174,79,95,200,90,110,3,1,2,0,0,0,5,2,3,4,2,2,123,45,78,60,25,35,137,49,88,19,8,11,320,119,201,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Isleta Tribal,NMDI05700,119,35,84,122,35,87,2,0,2,0,0,0,0,0,0,2,0,2,53,14,39,52,11,41,130,28,102,0,0,0,235,53,182,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Mescalero Tribal,NMDI07000,171,67,104,187,70,117,5,2,3,0,0,0,0,0,0,2,1,1,25,6,19,8,3,5,57,20,37,14,2,12,90,29,61,35.054002,-106.669064
New Mexico,NOT SPECIFIED,Zia Pueblo,NMDI08300,10,4,6,12,5,7,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2,3,0,3,1,0,1,0,0,0,8,2,6,,
New Mexico,UNMAPPED COUNTY,New Mexico State Police,NMNSP0000,4571,1256,3315,5231,1377,3854,43,4,39,0,0,0,106,12,94,65,17,48,1169,98,1071,1041,193,848,2224,159,2065,389,64,325,4434,450,3984,35.513731,-105.966439
